Type,Pump,,,,
Description,D35e,,,,
Values,N,Q,Pressure,,
Units,rpm,m^3/s,bar,,
,,,,,
DATA,,,,,
N,Q,Pressure,N,Q,Pressure
875,0.001731179,17,875,0.0016135,83
880,0.001741118,17,880,0.001622812,83
885,0.001751058,17,885,0.001632124,83
890,0.001760997,17,890,0.001641435,83
895,0.001770936,17,895,0.001650747,83
900,0.001780876,17,900,0.001660059,83
905,0.001790815,17,905,0.001669371,83
910,0.001800754,17,910,0.001678683,83
915,0.001810694,17,915,0.001687995,83
920,0.001820633,17,920,0.001697307,83
925,0.001830572,17,925,0.001706618,83
930,0.001840512,17,930,0.00171593,83
935,0.001850451,17,935,0.001725242,83
940,0.00186039,17,940,0.001734554,83
945,0.00187033,17,945,0.001743866,83
950,0.001880269,17,950,0.001753178,83
955,0.001890208,17,955,0.001762489,83
960,0.001900148,17,960,0.001771801,83
965,0.001910087,17,965,0.001781113,83
970,0.001920026,17,970,0.001790425,83
975,0.001929966,17,975,0.001799737,83
980,0.001939905,17,980,0.001809049,83
985,0.001949844,17,985,0.001818361,83
990,0.001959784,17,990,0.001827672,83
995,0.001969723,17,995,0.001836984,83
1000,0.001979662,17,1000,0.001846296,83
1005,0.001989602,17,1005,0.001855608,83
1010,0.001999541,17,1010,0.00186492,83
1015,0.00200948,17,1015,0.001874232,83
1020,0.00201942,17,1020,0.001883543,83
1025,0.002029359,17,1025,0.001892855,83
1030,0.002039298,17,1030,0.001902167,83
1035,0.002049238,17,1035,0.001911479,83
1040,0.002059177,17,1040,0.001920791,83
1045,0.002069116,17,1045,0.001930103,83
1050,0.002079056,17,1050,0.001939415,83
1055,0.002088995,17,1055,0.001948726,83
1060,0.002098934,17,1060,0.001958038,83
1065,0.002108874,17,1065,0.00196735,83
1070,0.002118813,17,1070,0.001976662,83
1075,0.002128752,17,1075,0.001985974,83
1080,0.002138692,17,1080,0.001995286,83
1085,0.002148631,17,1085,0.002004598,83
1090,0.00215857,17,1090,0.002013909,83
1095,0.00216851,17,1095,0.002023221,83
1100,0.002178449,17,1100,0.002032533,83
1105,0.002188388,17,1105,0.002041845,83
1110,0.002198328,17,1110,0.002051157,83
1115,0.002208267,17,1115,0.002060469,83
1120,0.002218206,17,1120,0.00206978,83
1125,0.002228145,17,1125,0.002079092,83
1130,0.002238085,17,1130,0.002088404,83
1135,0.002248024,17,1135,0.002097716,83
1140,0.002257963,17,1140,0.002107028,83
1145,0.002267903,17,1145,0.00211634,83
1150,0.002277842,17,1150,0.002125652,83
1155,0.002287781,17,1155,0.002134963,83
1160,0.002297721,17,1160,0.002144275,83
1165,0.00230766,17,1165,0.002153587,83
1170,0.002317599,17,1170,0.002162899,83
1175,0.002327539,17,1175,0.002172211,83
1180,0.002337478,17,1180,0.002181523,83
1185,0.002347417,17,1185,0.002190834,83
1190,0.002357357,17,1190,0.002200146,83
1195,0.002367296,17,1195,0.002209458,83
1200,0.002377235,17,1200,0.00221877,83
