Partial_0.2,,Partial_0.3,,Partial_0.4,,Partial_0.5,,Partial_0.6,,Partial_0.7,,Full_0.8,,Full_0.7,,Full_0.6,,Full_0.5,,Full_0.4,,Full_0.3,,Full_0.2,
Ns,Ds,Ns,Ds,Ns,Ds,Ns,Ds,Ns,Ds,Ns,Ds,Ns,Ds,Ns,Ds,Ns,Ds,Ns,Ds,Ns,Ds,Ns,Ds,Ns,Ds
0.39119976628400005,36.10806013001169,0.8767733421648902,25.892963023378414,,,,,,,,,40.33217539513438,1.7252011220244654,29.21396457560595,1.7317454455005041,23.004043458194538,1.6354059436764528,16.987911189491378,1.6694726697575106,11.905510874109027,1.6777665877102999,,,,
0.39525462524184796,38.869806907375505,0.8791498574857575,23.520184592030443,,,,,,,,,41.05601963787664,1.5829557441749604,31.05452312919048,1.6270795792654738,24.415565610619762,1.5498722465277497,17.957225331914707,1.5498245082196167,12.65232802722221,1.6054875907298056,,,,
0.3988370892036756,33.159418643501766,0.9180621468304188,27.961891428546117,,,,,,,,,41.84136602073807,1.9037128943582675,31.832662327335516,2.853977191802057,26.195801602686824,1.4447613103922419,19.08488859378863,1.4627234804823843,13.159647133213175,1.5256842399000012,,,,
0.4120049333651552,41.424607227755246,0.9024575533384844,22.038817116238224,,,,,,,,,42.87321121435933,1.4981364117274587,32.35388232256134,1.555210003644279,27.578305818878395,1.3802503215387703,20.20117664092501,1.3810583308343767,13.786464507510065,1.4823954535351775,,,,
0.4086727655372056,31.41979483720969,0.930571927503624,20.84311175028078,,,,,,,,,44.288695830145905,1.9712619263404583,34.00610944966979,1.481668540668813,31.584707698749543,3.1627297231343765,21.44071561091257,1.3133503293342148,14.055615183045134,1.4231485671716,,,,
0.42445702074142155,29.29494771218023,0.9743942025365888,28.82946830088069,,,,,,,,,45.2582208465749,1.4134676508494763,35.47283428601992,2.6731119277171413,32.39770063974646,1.1947381866927473,22.694797574288597,1.2537103522170245,14.791690465042254,1.3981136622945791,,,,
0.43728544943661274,43.09045631258225,0.9691333635912877,19.141441945833506,,,,,,,,,47.00623874297693,1.9620542622122472,36.05365754004377,1.4179562247284998,32.95492284919485,3.0733362366710364,24.283743850903264,1.1842230662438935,15.103810133083375,1.3083666647725147,,,,
0.4396592076922204,27.219361179907924,0.990348687787359,18.528848405621297,,,,,,,,,47.879477206524,1.3408846061935549,38.265900634880914,2.5414331606346385,34.98243896530941,1.1232353437173095,25.53076024576211,1.1436434148506045,16.373901989903523,1.2361633087593142,,,,
0.46411717143082215,43.613899463105035,1.0065644077611553,28.90059614153573,,,,,,,,,50.98268428909127,1.2760262758923344,38.265900634880914,1.3572176501429412,36.6439910477366,1.0748911424278809,27.060671602309842,1.0964201168850274,17.38330515379478,1.199483776574819,,,,
0.4566402588468651,25.804797761914617,1.068326939290868,16.312507474043784,,,,,,,,,53.52824630319133,1.84165250042806,40.61388639341913,2.4570691871927006,37.09307586141297,1.0303125819729557,29.784303569791053,1.014477059670406,17.586820004618886,1.157051074540466,,,,
0.4704413664118624,24.618221605781706,1.1065897198836019,28.90059614153573,,,,,,,,,52.95179935541386,1.2444560758342567,39.743852659518936,1.305970806836282,38.286622309986726,2.817994558502873,31.729430309153077,0.9568235311532999,18.67605067260378,1.150795512222984,,,,
0.4925952809417031,43.75383623878455,1.1125967262601657,15.212766688280484,,,,,,,,,56.812725641562196,1.79726873801012,43.105943950368804,2.336838815605041,39.20957168113987,1.020238497323839,31.93334878131123,3.3518651878682038,19.292651614356124,1.051472436244499,,,,
0.496611722177263,22.53415097452635,1.1649908704395895,14.348305802472252,,,,,,,,,60.66710558611619,1.7255537344835636,45.82527860308351,2.278622461237689,40.61388639341913,2.7152680719361277,32.85397958691263,3.264835519033529,20.643401135179513,0.9979398783439004,,,,
0.5228207998811417,43.75383623878455,1.187275577389658,28.442083591732594,,,,,,,,,63.653120550725255,1.082361586797073,45.50390035753761,1.1625700861403845,41.18959580752285,0.9633293902193459,33.60349320562376,0.9195991675755103,22.480802345099445,0.9689269680452026,,,,
0.5228207998811417,20.983027463139024,1.2198523473726532,13.493287053842154,,,,,,,,,63.99865484782368,1.676618570993856,48.087291561118356,1.0865302783778639,42.84420811260854,2.6319345371818663,35.56898426013655,0.8968031417868064,23.14979681008117,0.9215273148088492,,,,
0.5459615125448088,19.928024995551354,1.2772973481149135,27.803864148119676,,,,,,,,,67.69615301229652,1.0500483571328891,48.55817772543378,2.1759065983674764,43.37906271005213,0.9319940739603974,37.853814247817304,0.8532707425538807,26.072005525476914,0.8350974359822518,,,,
0.5549009488393898,43.58166997149982,1.2601264995140438,12.885628645555782,,,,,,,,,67.92559574442242,1.6268313988394976,50.98268428909127,1.0591437043331235,44.730456130664386,0.924028566646563,40.30099504145987,0.8236963463498511,27.35526105422363,0.8079019825588262,,,,
0.5716718040902836,18.705467908415685,1.337447535363873,27.511943442426688,,,,,,,,,70.3583923640834,1.0192019890961814,53.99391884507705,1.0289171610604901,45.539106131123546,2.574479465429668,42.64173502260919,0.785215540894,28.7989566630118,0.7878212092235409,,,,
0.5778951708239882,43.42890483320474,1.3593465644437817,11.592988052309053,,,,,,,,,72.09349271802073,1.569472679374782,54.700034564366376,2.0493724280997703,47.21026292486489,0.9068252000908607,45.62723977852398,2.7152680719361277,31.010522816215595,0.7472614133731953,,,,
